role_id,role_name,function,total_headcount,avg_annual_salary_usd,total_annual_labor_cost_usd,automation_potential_pct,ai_productivity_uplift_pct,risk_score,scenario,labor_savings,productivity_gain_value,impl_cost_adj,ongoing_cost_adj,net_annual_benefit,savings_pct_of_cost,roi_year1,payback_months,npv_3yr,risk_adj_net_benefit,ai_assisted_labor_cost
HR-002,Recruiter / Talent Acquisition,Human Resources,65,85000,7182500.0,0.391,0.455,0.524,Conservative,1123343.0,1634019.0,757200.0,250000.0,2507362.0,0.1564,2.3114,3.6,5478238.0,1456276.0,6309157.0
HR-003,HR Operations / Admin,Human Resources,50,55000,3575000.0,0.612,0.399,0.442,Conservative,875160.0,713212.0,348000.0,126000.0,1462372.0,0.2448,3.2022,2.9,3288703.0,945277.0,2825840.0
SAL-001,Account Executive (Enterprise),Sales,200,155000,40300000.0,0.227,0.483,0.513,Conservative,3659240.0,9732450.0,4290000.0,1376000.0,12015690.0,0.0908,1.8009,4.3,25591243.0,7084451.0,38016760.0
SAL-002,Sales Development Rep (SDR),Sales,180,68000,15912000.0,0.554,0.431,0.465,Conservative,3526099.0,3429036.0,1440000.0,558000.0,6397135.0,0.2216,3.4425,2.7,14468728.0,4017401.0,12943901.0
SAL-003,Sales Operations Analyst,Sales,45,88000,5148000.0,0.521,0.455,0.279,Conservative,1072843.0,1171170.0,512400.0,182000.0,2062013.0,0.2084,3.0242,3.0,4615521.0,1601772.0,4257157.0
CS-001,Customer Support Agent (Tier 1),Customer Success,320,52000,21632000.0,0.661,0.459,0.58,Conservative,5719501.0,4964544.0,1930800.0,783000.0,9901045.0,0.2644,4.1279,2.3,22691633.0,5306960.0,16695499.0
CS-002,Customer Success Manager,Customer Success,110,92000,13156000.0,0.294,0.485,0.502,Conservative,1547146.0,3190330.0,1329600.0,452000.0,4285476.0,0.1176,2.2231,3.7,9327745.0,2564429.0,12060854.0
CS-003,Technical Support Specialist (Tier 2),Customer Success,140,72000,13104000.0,0.445,0.468,0.496,Conservative,2332512.0,3066336.0,1315200.0,461000.0,4937848.0,0.178,2.7544,3.2,10964497.0,2978510.0,11232488.0
LEG-001,Contract / Paralegal Specialist,Legal,35,82000,3731000.0,0.36,0.424,0.481,Conservative,537264.0,790972.0,472800.0,129000.0,1199236.0,0.144,1.5365,4.7,2509522.0,737770.0,3322736.0
LEG-002,Corporate Counsel,Legal,15,210000,4095000.0,0.129,0.439,0.503,Conservative,211302.0,898852.0,573600.0,136000.0,974154.0,0.0516,0.6983,7.1,1848977.0,582154.0,4019698.0
ITO-001,IT Help Desk / Support,IT Operations,95,58000,7163000.0,0.625,0.447,0.457,Conservative,1790750.0,1600930.0,667200.0,257000.0,3134680.0,0.25,3.6983,2.6,7128285.0,1988641.0,5629250.0
ITO-002,Systems / Network Administrator,IT Operations,60,95000,7410000.0,0.393,0.45,0.372,Conservative,1164852.0,1667250.0,820800.0,258000.0,2574102.0,0.1572,2.1361,3.8,5580611.0,1808049.0,6503148.0
MKT-001,Content Writer / Copywriter,Marketing,55,75000,5362500.0,0.488,0.511,0.4,Conservative,1046760.0,1370119.0,534000.0,194000.0,2222879.0,0.1952,3.1627,2.9,4993971.0,1511558.0,4509740.0
MKT-002,Digital Marketing Analyst,Marketing,40,82000,4264000.0,0.533,0.472,0.345,Conservative,909085.0,1006304.0,416400.0,152000.0,1763389.0,0.2132,3.2348,2.8,3968887.0,1276694.0,3506915.0
MKT-003,Brand / Marketing Manager,Marketing,22,120000,3432000.0,0.247,0.489,0.383,Conservative,339082.0,839124.0,357600.0,117000.0,1061206.0,0.0988,1.9676,4.0,2281462.0,736052.0,3209918.0
PRD-001,Product Manager,Product,70,145000,13195000.0,0.213,0.476,0.418,Conservative,1124214.0,3140410.0,1456800.0,448000.0,3816624.0,0.0852,1.6199,4.6,8034579.0,2540345.0,12518786.0
PRD-002,UX / Product Designer,Product,55,110000,7865000.0,0.321,0.5,0.416,Conservative,1009866.0,1966250.0,822000.0,273000.0,2703116.0,0.1284,2.2885,3.6,5900249.0,1803519.0,7128134.0
PRD-003,Technical Writer,Product,30,88000,3432000.0,0.537,0.483,0.37,Conservative,737194.0,828828.0,337200.0,124000.0,1442022.0,0.2148,3.2765,2.8,3248895.0,1015183.0,2818806.0
ENG-001,Software Engineer,Engineering,420,130000,70980000.0,0.339,0.544,0.295,Moderate,15640443.0,28959840.0,6667000.0,2542000.0,42058283.0,0.2204,5.3084,1.9,97925725.0,34613967.0,57881557.0
ENG-002,QA / Test Engineer,Engineering,180,105000,24570000.0,0.54,0.461,0.277,Moderate,8624070.0,8495078.0,2094000.0,874000.0,16245148.0,0.351,6.758,1.5,38305279.0,13545204.0,16819930.0
ENG-003,DevOps / Platform Engineer,Engineering,110,140000,20020000.0,0.387,0.479,0.316,Moderate,5036031.0,7192185.0,1893000.0,702000.0,11526216.0,0.2516,5.0889,2.0,26770993.0,9340845.0,15685969.0
DAT-001,Data Analyst,Data & Analytics,150,95000,18525000.0,0.475,0.484,0.298,Moderate,5719594.0,6724575.0,1654000.0,661000.0,11783169.0,0.3088,6.124,1.7,27648997.0,9676338.0,13466406.0
DAT-002,Data Scientist,Data & Analytics,80,135000,14040000.0,0.32,0.531,0.253,Moderate,2920320.0,5591430.0,1356000.0,497000.0,8014750.0,0.208,4.9106,2.0,18575497.0,6798111.0,11616680.0
DAT-003,BI / Reporting Analyst,Data & Analytics,90,78000,9126000.0,0.611,0.452,0.285,Moderate,3624391.0,3093714.0,759000.0,327000.0,6391105.0,0.3972,7.4204,1.4,15134732.0,5298226.0,5828609.0
FIN-001,Financial Analyst,Finance,120,100000,15600000.0,0.379,0.452,0.421,Moderate,3843060.0,5288400.0,1599000.0,545000.0,8586460.0,0.2464,4.3699,2.2,19754255.0,6417520.0,12301940.0
FIN-002,Accounts Payable / Receivable Clerk,Finance,85,58000,6409000.0,0.675,0.416,0.418,Moderate,2811949.0,1999608.0,542000.0,231000.0,4580557.0,0.4388,7.4512,1.4,10849167.0,3431753.0,3828051.0
FIN-003,Payroll Specialist,Finance,45,62000,3627000.0,0.587,0.4,0.456,Moderate,1383882.0,1088100.0,329000.0,129000.0,2342982.0,0.3816,6.1215,1.7,5497649.0,1701942.0,2372118.0
FIN-004,FP&A Manager,Finance,25,145000,4712500.0,0.249,0.495,0.371,Moderate,762718.0,1749516.0,500000.0,162000.0,2350234.0,0.1618,3.7005,2.6,5344684.0,1827072.0,4111782.0
HR-001,HR Business Partner,Human Resources,40,110000,5720000.0,0.225,0.478,0.512,Moderate,836550.0,2050620.0,550000.0,194000.0,2693170.0,0.1462,3.8967,2.5,6147515.0,1865828.0,5077450.0
HR-002,Recruiter / Talent Acquisition,Human Resources,65,85000,7182500.0,0.391,0.455,0.524,Moderate,1825432.0,2451028.0,631000.0,250000.0,4026460.0,0.2541,5.3811,1.9,9382210.0,2760541.0,5607068.0
HR-003,HR Operations / Admin,Human Resources,50,55000,3575000.0,0.612,0.399,0.442,Moderate,1422135.0,1069819.0,290000.0,126000.0,2365954.0,0.3978,7.1585,1.5,5593777.0,1738503.0,2278865.0
SAL-001,Account Executive (Enterprise),Sales,200,155000,40300000.0,0.227,0.483,0.513,Moderate,5946265.0,14598675.0,3575000.0,1376000.0,19168940.0,0.1475,4.3619,2.2,44095317.0,13268740.0,35729735.0
SAL-002,Sales Development Rep (SDR),Sales,180,68000,15912000.0,0.554,0.431,0.465,Moderate,5729911.0,5143554.0,1200000.0,558000.0,10315465.0,0.3601,7.5962,1.4,24453035.0,7437450.0,10740089.0
SAL-003,Sales Operations Analyst,Sales,45,88000,5148000.0,0.521,0.455,0.279,Moderate,1743370.0,1756755.0,427000.0,182000.0,3318125.0,0.3386,6.7708,1.5,7824686.0,2762671.0,3586630.0
CS-001,Customer Support Agent (Tier 1),Customer Success,320,52000,21632000.0,0.661,0.459,0.58,Moderate,9294189.0,7446816.0,1609000.0,783000.0,15958005.0,0.4297,8.918,1.2,38076197.0,10404619.0,13120811.0
CS-002,Customer Success Manager,Customer Success,110,92000,13156000.0,0.294,0.485,0.502,Moderate,2514112.0,4785495.0,1108000.0,452000.0,6847607.0,0.1911,5.1802,1.9,15920985.0,4785108.0,11093888.0
CS-003,Technical Support Specialist (Tier 2),Customer Success,140,72000,13104000.0,0.445,0.468,0.496,Moderate,3790332.0,4599504.0,1096000.0,461000.0,7928836.0,0.2892,6.2343,1.7,18621842.0,5569214.0,9774668.0
LEG-001,Contract / Paralegal Specialist,Legal,35,82000,3731000.0,0.36,0.424,0.481,Moderate,873054.0,1186458.0,394000.0,129000.0,1930512.0,0.234,3.8998,2.4,4406898.0,1373366.0,2986946.0
LEG-002,Corporate Counsel,Legal,15,210000,4095000.0,0.129,0.439,0.503,Moderate,343366.0,1348279.0,478000.0,136000.0,1555645.0,0.0839,2.2545,3.7,3390659.0,1086151.0,3887634.0
ITO-001,IT Help Desk / Support,IT Operations,95,58000,7163000.0,0.625,0.447,0.457,Moderate,2909969.0,2401396.0,556000.0,257000.0,5054365.0,0.4063,8.0906,1.3,12013458.0,3668458.0,4510031.0
ITO-002,Systems / Network Administrator,IT Operations,60,95000,7410000.0,0.393,0.45,0.372,Moderate,1892884.0,2500875.0,684000.0,258000.0,4135759.0,0.2554,5.0464,2.0,9601021.0,3212658.0,5775116.0
MKT-001,Content Writer / Copywriter,Marketing,55,75000,5362500.0,0.488,0.511,0.4,Moderate,1700985.0,2055178.0,445000.0,194000.0,3562163.0,0.3172,7.0049,1.5,8413572.0,2707244.0,3855515.0
MKT-002,Digital Marketing Analyst,Marketing,40,82000,4264000.0,0.533,0.472,0.345,Moderate,1477263.0,1509456.0,347000.0,152000.0,2834719.0,0.3465,7.1692,1.5,6702527.0,2247932.0,2938737.0
MKT-003,Brand / Marketing Manager,Marketing,22,120000,3432000.0,0.247,0.489,0.383,Moderate,551008.0,1258686.0,298000.0,117000.0,1692694.0,0.1606,4.6802,2.1,3911479.0,1303713.0,2997992.0
PRD-001,Product Manager,Product,70,145000,13195000.0,0.213,0.476,0.418,Moderate,1826848.0,4710615.0,1214000.0,448000.0,6089463.0,0.1385,4.016,2.4,13929593.0,4562226.0,11816152.0
PRD-002,UX / Product Designer,Product,55,110000,7865000.0,0.321,0.5,0.416,Moderate,1641032.0,2949375.0,685000.0,273000.0,4317407.0,0.2086,5.3028,1.9,10051752.0,3239782.0,6496968.0
PRD-003,Technical Writer,Product,30,88000,3432000.0,0.537,0.483,0.37,Moderate,1197940.0,1243242.0,281000.0,124000.0,2317182.0,0.3491,7.2462,1.5,5481489.0,1802768.0,2358060.0
ENG-001,Software Engineer,Engineering,420,130000,70980000.0,0.339,0.544,0.295,Aggressive,20452887.0,34751808.0,6000300.0,2796200.0,52408495.0,0.2882,7.7343,1.4,124331870.0,46224293.0,53323313.0
ENG-002,QA / Test Engineer,Engineering,180,105000,24570000.0,0.54,0.461,0.277,Aggressive,11277630.0,10194093.0,1884600.0,961400.0,20510323.0,0.459,9.8831,1.1,49121538.0,18237779.0,14253770.0
ENG-003,DevOps / Platform Engineer,Engineering,110,140000,20020000.0,0.387,0.479,0.316,Aggressive,6585579.0,8630622.0,1703700.0,772200.0,14444001.0,0.329,7.478,1.4,34216393.0,12618279.0,14206621.0
DAT-001,Data Analyst,Data & Analytics,150,95000,18525000.0,0.475,0.484,0.298,Aggressive,7479469.0,8069490.0,1488600.0,727100.0,14821859.0,0.4038,8.9569,1.2,35371170.0,13055093.0,11772631.0
DAT-002,Data Scientist,Data & Analytics,80,135000,14040000.0,0.32,0.531,0.253,Aggressive,3818880.0,6709716.0,1220400.0,546700.0,9981896.0,0.272,7.1792,1.5,23603098.0,8971728.0,10767820.0
DAT-003,BI / Reporting Analyst,Data & Analytics,90,78000,9126000.0,0.611,0.452,0.285,Aggressive,4739588.0,3712457.0,683100.0,359700.0,8092345.0,0.5193,10.8465,1.0,19441364.0,7169818.0,4746112.0
FIN-001,Financial Analyst,Finance,120,100000,15600000.0,0.379,0.452,0.421,Aggressive,5025540.0,6346080.0,1439100.0,599500.0,10772120.0,0.3222,6.4853,1.6,25349568.0,8958095.0,11173960.0
FIN-002,Accounts Payable / Receivable Clerk,Finance,85,58000,6409000.0,0.675,0.416,0.418,Aggressive,3677164.0,2399530.0,487800.0,254100.0,5822594.0,0.5738,10.9364,1.0,13992129.0,4849056.0,2985936.0
FIN-003,Payroll Specialist,Finance,45,62000,3627000.0,0.587,0.4,0.456,Aggressive,1809692.0,1305720.0,296100.0,141900.0,2973512.0,0.499,9.0423,1.2,7098584.0,2431143.0,1959208.0
FIN-004,FP&A Manager,Finance,25,145000,4712500.0,0.249,0.495,0.371,Aggressive,997401.0,2099419.0,450000.0,178200.0,2918620.0,0.2117,5.4858,1.9,6808176.0,2485497.0,3893299.0
HR-001,HR Business Partner,Human Resources,40,110000,5720000.0,0.225,0.478,0.512,Aggressive,1093950.0,2460744.0,495000.0,213400.0,3341294.0,0.1912,5.7501,1.8,7814304.0,2656997.0,4839450.0
HR-002,Recruiter / Talent Acquisition,Human Resources,65,85000,7182500.0,0.391,0.455,0.524,Aggressive,2387104.0,2941234.0,567900.0,275000.0,5053338.0,0.3324,7.8983,1.3,11999004.0,3994158.0,5070396.0
HR-003,HR Operations / Admin,Human Resources,50,55000,3575000.0,0.612,0.399,0.442,Aggressive,1859715.0,1283782.0,261000.0,138600.0,3004897.0,0.5202,10.513,1.0,7211734.0,2473631.0,1853885.0
SAL-001,Account Executive (Enterprise),Sales,200,155000,40300000.0,0.227,0.483,0.513,Aggressive,7775885.0,17518410.0,3217500.0,1513600.0,23780695.0,0.193,6.391,1.6,55921569.0,18900896.0,34037715.0
SAL-002,Sales Development Rep (SDR),Sales,180,68000,15912000.0,0.554,0.431,0.465,Aggressive,7492961.0,6172265.0,1080000.0,613800.0,13051426.0,0.4709,11.0847,1.0,31376965.0,10623861.0,9032839.0
SAL-003,Sales Operations Analyst,Sales,45,88000,5148000.0,0.521,0.455,0.279,Aggressive,2279792.0,2108106.0,384300.0,200200.0,4187698.0,0.4429,9.897,1.1,10029885.0,3720351.0,3068408.0
CS-001,Customer Support Agent (Tier 1),Customer Success,320,52000,21632000.0,0.661,0.459,0.58,Aggressive,12153939.0,8936179.0,1448100.0,861300.0,20228818.0,0.5618,12.9692,0.9,48857976.0,15535732.0,10339361.0
CS-002,Customer Success Manager,Customer Success,110,92000,13156000.0,0.294,0.485,0.502,Aggressive,3287684.0,5742594.0,997200.0,497200.0,8533078.0,0.2499,7.557,1.4,20223302.0,6819636.0,10365516.0
CS-003,Technical Support Specialist (Tier 2),Customer Success,140,72000,13104000.0,0.445,0.468,0.496,Aggressive,4956588.0,5519405.0,986400.0,507100.0,9968893.0,0.3782,9.1063,1.2,23804761.0,7991065.0,8654512.0
LEG-001,Contract / Paralegal Specialist,Legal,35,82000,3731000.0,0.36,0.424,0.481,Aggressive,1141686.0,1423750.0,354600.0,141900.0,2423536.0,0.306,5.8346,1.8,5672375.0,1957248.0,2731214.0
LEG-002,Corporate Counsel,Legal,15,210000,4095000.0,0.129,0.439,0.503,Aggressive,449017.0,1617934.0,430200.0,149600.0,1917351.0,0.1097,3.4569,2.7,4337968.0,1531580.0,3795583.0
ITO-001,IT Help Desk / Support,IT Operations,95,58000,7163000.0,0.625,0.447,0.457,Aggressive,3805344.0,2881675.0,500400.0,282700.0,6404319.0,0.5313,11.7984,0.9,15426193.0,5233609.0,3640356.0
ITO-002,Systems / Network Administrator,IT Operations,60,95000,7410000.0,0.393,0.45,0.372,Aggressive,2475310.0,3001050.0,615600.0,283800.0,5192560.0,0.334,7.435,1.4,12297528.0,4419907.0,5218490.0
MKT-001,Content Writer / Copywriter,Marketing,55,75000,5362500.0,0.488,0.511,0.4,Aggressive,2224365.0,2466214.0,400500.0,213400.0,4477179.0,0.4148,10.179,1.1,10733582.0,3760830.0,3351535.0
MKT-002,Digital Marketing Analyst,Marketing,40,82000,4264000.0,0.533,0.472,0.345,Aggressive,1931805.0,1811347.0,312300.0,167200.0,3575952.0,0.453,10.4504,1.0,8580563.0,3082471.0,2499395.0
MKT-003,Brand / Marketing Manager,Marketing,22,120000,3432000.0,0.247,0.489,0.383,Aggressive,720548.0,1510423.0,268200.0,128700.0,2102271.0,0.2099,6.8384,1.5,4959837.0,1780203.0,2840152.0
PRD-001,Product Manager,Product,70,145000,13195000.0,0.213,0.476,0.418,Aggressive,2388955.0,5652738.0,1092600.0,492800.0,7548893.0,0.1811,5.9091,1.7,17680380.0,6286718.0,11298845.0
PRD-002,UX / Product Designer,Product,55,110000,7865000.0,0.321,0.5,0.416,Aggressive,2145965.0,3539250.0,616500.0,300300.0,5384915.0,0.2728,7.7347,1.4,12774987.0,4488865.0,6019335.0
PRD-003,Technical Writer,Product,30,88000,3432000.0,0.537,0.483,0.37,Aggressive,1566536.0,1491890.0,252900.0,136400.0,2922026.0,0.4564,10.5541,1.0,7013746.0,2489566.0,2001864.0
