role_id,role_name,function,role_level,avg_annual_salary_usd,num_employees,task_repetitiveness_pct,decision_intensity,customer_impact,regulatory_sensitivity,skill_complexity,current_error_rate_pct,ai_maturity_readiness,hours_per_week,total_headcount,benefits_load_pct,total_annual_labor_cost_usd,productive_hours_per_year,cost_per_productive_hour,automation_potential_pct,augmentation_potential_pct,human_oversight_required_pct,ai_productivity_uplift_pct,implementation_cost_usd,ongoing_ai_cost_per_year_usd,time_to_value_months,quality_risk_score,change_mgmt_complexity,scenario_conservative_auto_pct,scenario_moderate_auto_pct,scenario_aggressive_auto_pct,automatable_labor_cost_usd,augmentable_labor_cost_usd,total_ai_opportunity_cost_usd,impl_cost_per_head_usd,risk_score,ai_classification
SAL-001,Account Executive (Enterprise),Sales,Senior,155000,200,0.22,0.8,0.9,0.2,0.72,0.05,0.55,40,200,0.3,40300000.0,1920,104.95,0.227,0.6,0.858,0.483,3575000.0,1376000.0,19,0.51,0.694,0.091,0.148,0.193,9148100.0,24180000.0,33328100.0,17875.0,0.513,AI Augmentation
SAL-002,Sales Development Rep (SDR),Sales,Junior,68000,180,0.65,0.38,0.72,0.1,0.38,0.1,0.7,40,180,0.3,15912000.0,1920,46.04,0.554,0.324,0.577,0.431,1200000.0,558000.0,16,0.637,0.364,0.222,0.36,0.471,8815248.0,5155488.0,13970736.0,6667.0,0.465,Low AI Suitability
SAL-003,Sales Operations Analyst,Sales,Mid,88000,45,0.6,0.45,0.2,0.15,0.58,0.07,0.75,40,45,0.3,5148000.0,1920,59.58,0.521,0.373,0.613,0.455,427000.0,182000.0,16,0.367,0.468,0.208,0.339,0.443,2682108.0,1920204.0,4602312.0,9489.0,0.279,Low AI Suitability
CS-001,Customer Support Agent (Tier 1),Customer Success,Junior,52000,320,0.72,0.28,0.92,0.2,0.28,0.12,0.88,40,320,0.3,21632000.0,1920,35.21,0.661,0.288,0.511,0.459,1609000.0,783000.0,15,0.779,0.248,0.265,0.43,0.562,14298752.0,6230016.0,20528768.0,5028.0,0.58,Full Automation
CS-002,Customer Success Manager,Customer Success,Mid,92000,110,0.32,0.7,0.88,0.15,0.62,0.06,0.58,40,110,0.3,13156000.0,1920,62.29,0.294,0.565,0.795,0.485,1108000.0,452000.0,19,0.55,0.608,0.118,0.191,0.25,3867864.0,7433140.0,11301004.0,10073.0,0.502,AI Augmentation
CS-003,Technical Support Specialist (Tier 2),Customer Success,Mid,72000,140,0.5,0.52,0.8,0.18,0.58,0.09,0.72,40,140,0.3,13104000.0,1920,48.75,0.445,0.437,0.68,0.468,1096000.0,461000.0,17,0.581,0.499,0.178,0.289,0.378,5831280.0,5726448.0,11557728.0,7829.0,0.496,AI Augmentation
LEG-001,Contract / Paralegal Specialist,Legal,Mid,82000,35,0.58,0.55,0.2,0.9,0.7,0.04,0.62,40,35,0.3,3731000.0,1920,55.52,0.36,0.423,0.892,0.424,394000.0,129000.0,17,0.281,0.584,0.144,0.234,0.306,1343160.0,1578213.0,2921373.0,11257.0,0.481,AI Augmentation
LEG-002,Corporate Counsel,Legal,Director,210000,15,0.18,0.92,0.3,0.95,0.95,0.02,0.4,40,15,0.3,4095000.0,1920,142.19,0.129,0.6,0.9,0.439,478000.0,136000.0,20,0.178,0.87,0.052,0.084,0.11,528255.0,2457000.0,2985255.0,31867.0,0.503,AI Augmentation
ITO-001,IT Help Desk / Support,IT Operations,Junior,58000,95,0.7,0.3,0.6,0.2,0.38,0.1,0.82,40,95,0.3,7163000.0,1920,39.27,0.625,0.296,0.54,0.447,556000.0,257000.0,16,0.614,0.312,0.25,0.406,0.532,4476875.0,2120248.0,6597123.0,5853.0,0.457,Full Automation
ITO-002,Systems / Network Administrator,IT Operations,Mid,95000,60,0.5,0.55,0.3,0.4,0.68,0.06,0.65,40,60,0.3,7410000.0,1920,64.32,0.393,0.446,0.766,0.45,684000.0,258000.0,17,0.338,0.569,0.157,0.256,0.334,2912130.0,3304860.0,6216990.0,11400.0,0.372,AI Augmentation
MKT-001,Content Writer / Copywriter,Marketing,Mid,75000,55,0.48,0.52,0.55,0.15,0.58,0.07,0.88,40,55,0.3,5362500.0,1920,50.78,0.488,0.461,0.64,0.511,445000.0,194000.0,16,0.496,0.467,0.195,0.317,0.415,2616900.0,2472112.0,5089012.0,8091.0,0.4,AI Augmentation
MKT-002,Digital Marketing Analyst,Marketing,Mid,82000,40,0.6,0.48,0.4,0.12,0.55,0.08,0.8,40,40,0.3,4264000.0,1920,55.52,0.533,0.387,0.598,0.472,347000.0,152000.0,16,0.459,0.455,0.213,0.346,0.453,2272712.0,1650168.0,3922880.0,8675.0,0.345,Low AI Suitability
MKT-003,Brand / Marketing Manager,Marketing,Manager,120000,22,0.25,0.78,0.6,0.12,0.72,0.05,0.55,40,22,0.3,3432000.0,1920,81.25,0.247,0.6,0.826,0.489,298000.0,117000.0,19,0.396,0.687,0.099,0.161,0.21,847704.0,2059200.0,2906904.0,13545.0,0.383,AI Augmentation
PRD-001,Product Manager,Product,Senior,145000,70,0.22,0.85,0.65,0.2,0.82,0.05,0.52,40,70,0.3,13195000.0,1920,98.18,0.213,0.6,0.869,0.476,1214000.0,448000.0,19,0.38,0.762,0.085,0.139,0.181,2810535.0,7917000.0,10727535.0,17343.0,0.418,AI Augmentation
PRD-002,UX / Product Designer,Product,Mid,110000,55,0.32,0.68,0.7,0.1,0.75,0.06,0.65,40,55,0.3,7865000.0,1920,74.48,0.321,0.565,0.763,0.5,685000.0,273000.0,18,0.455,0.645,0.128,0.209,0.273,2524665.0,4443725.0,6968390.0,12455.0,0.416,AI Augmentation
PRD-003,Technical Writer,Product,Mid,88000,30,0.55,0.42,0.45,0.15,0.55,0.07,0.85,40,30,0.3,3432000.0,1920,59.58,0.537,0.395,0.601,0.483,281000.0,124000.0,16,0.48,0.425,0.215,0.349,0.456,1842984.0,1355640.0,3198624.0,9367.0,0.37,Low AI Suitability
