role_id,role_name,function,role_level,avg_annual_salary_usd,num_employees,task_repetitiveness_pct,decision_intensity,customer_impact,regulatory_sensitivity,skill_complexity,current_error_rate_pct,ai_maturity_readiness,hours_per_week,total_headcount,benefits_load_pct,total_annual_labor_cost_usd,productive_hours_per_year,cost_per_productive_hour,automation_potential_pct,augmentation_potential_pct,human_oversight_required_pct,ai_productivity_uplift_pct,implementation_cost_usd,ongoing_ai_cost_per_year_usd,time_to_value_months,quality_risk_score,change_mgmt_complexity,scenario_conservative_auto_pct,scenario_moderate_auto_pct,scenario_aggressive_auto_pct,automatable_labor_cost_usd,augmentable_labor_cost_usd,total_ai_opportunity_cost_usd,impl_cost_per_head_usd,risk_score,ai_classification,F1_raw,F2_raw,F3_raw,F4_raw,F5_raw,F6_raw,F1_norm,F2_norm,F3_norm,F4_norm,F5_norm,F6_norm,AAPS,AAPS_rank,RAG,Phase
HR-001,HR Business Partner,Human Resources,Senior,110000,40,0.3,0.78,0.6,0.55,0.68,0.05,0.5,40,40,0.3,5720000.0,1920,74.48,0.225,0.6,0.9,0.478,550000.0,194000.0,19,0.399,0.679,0.09,0.147,0.192,1287000.0,3432000.0,4719000.0,13750.0,0.5125,AI Augmentation,0.225,1287000.0,0.478,0.4284,0.5125,0.78,0.1758241758241758,0.032240423575032935,0.5448275862068962,0.25409836065573776,0.7923547400611619,0.810810810810811,0.2115,28,Red,Phase 3
HR-002,Recruiter / Talent Acquisition,Human Resources,Mid,85000,65,0.52,0.6,0.7,0.4,0.55,0.08,0.65,40,65,0.3,7182500.0,1920,57.55,0.391,0.454,0.767,0.455,631000.0,250000.0,17,0.529,0.527,0.156,0.254,0.333,2808358.0,3260855.0,6069213.0,9708.0,0.5243,AI Augmentation,0.391,2808358.0,0.455,0.5792,0.5243,0.6,0.4798534798534798,0.09688562891973367,0.3862068965517241,0.535022354694486,0.8284403669724769,0.5675675675675675,0.3428,21,Red,Phase 3
HR-003,HR Operations / Admin,Human Resources,Junior,55000,50,0.78,0.22,0.35,0.45,0.32,0.1,0.72,40,50,0.3,3575000.0,1920,37.24,0.612,0.239,0.6,0.399,290000.0,126000.0,16,0.524,0.277,0.245,0.398,0.52,2187900.0,854425.0,3042325.0,5800.0,0.4423,Full Automation,0.612,2187900.0,0.399,0.7212000000000001,0.4423,0.22,0.8846153846153845,0.07052126575356087,0.0,0.7995529061102834,0.5776758409785933,0.054054054054054064,0.4955,13,Red,Phase 2
SAL-001,Account Executive (Enterprise),Sales,Senior,155000,200,0.22,0.8,0.9,0.2,0.72,0.05,0.55,40,200,0.3,40300000.0,1920,104.95,0.227,0.6,0.858,0.483,3575000.0,1376000.0,19,0.51,0.694,0.091,0.148,0.193,9148100.0,24180000.0,33328100.0,17875.0,0.5134,AI Augmentation,0.227,9148100.0,0.483,0.4524,0.5134,0.8,0.1794871794871795,0.3662725341862283,0.5793103448275859,0.29880774962742185,0.7951070336391436,0.8378378378378379,0.3049,23,Red,Phase 3
SAL-002,Sales Development Rep (SDR),Sales,Junior,68000,180,0.65,0.38,0.72,0.1,0.38,0.1,0.7,40,180,0.3,15912000.0,1920,46.04,0.554,0.324,0.577,0.431,1200000.0,558000.0,16,0.637,0.364,0.222,0.36,0.471,8815248.0,5155488.0,13970736.0,6667.0,0.4652,Low AI Suitability,0.554,8815248.0,0.431,0.6744,0.4652,0.38,0.7783882783882784,0.35212906112505904,0.22068965517241357,0.7123695976154993,0.6477064220183486,0.2702702702702703,0.5308,10,Red,Phase 1
SAL-003,Sales Operations Analyst,Sales,Mid,88000,45,0.6,0.45,0.2,0.15,0.58,0.07,0.75,40,45,0.3,5148000.0,1920,59.58,0.521,0.373,0.613,0.455,427000.0,182000.0,16,0.367,0.468,0.208,0.339,0.443,2682108.0,1920204.0,4602312.0,9489.0,0.2786,Low AI Suitability,0.521,2682108.0,0.455,0.6628,0.2786,0.45,0.717948717948718,0.09152104203435332,0.3862068965517241,0.6907600596125186,0.07706422018348624,0.3648648648648649,0.5197,12,Red,Phase 2
CS-001,Customer Support Agent (Tier 1),Customer Success,Junior,52000,320,0.72,0.28,0.92,0.2,0.28,0.12,0.88,40,320,0.3,21632000.0,1920,35.21,0.661,0.288,0.511,0.459,1609000.0,783000.0,15,0.779,0.248,0.265,0.43,0.562,14298752.0,6230016.0,20528768.0,5028.0,0.5804,Full Automation,0.661,14298752.0,0.459,0.8288,0.5804,0.28,0.9743589743589743,0.5851328919712424,0.4137931034482758,1.0,1.0,0.13513513513513517,0.6884,2,Red,Phase 1
CS-002,Customer Success Manager,Customer Success,Mid,92000,110,0.32,0.7,0.88,0.15,0.62,0.06,0.58,40,110,0.3,13156000.0,1920,62.29,0.294,0.565,0.795,0.485,1108000.0,452000.0,19,0.55,0.608,0.118,0.191,0.25,3867864.0,7433140.0,11301004.0,10073.0,0.5018,AI Augmentation,0.294,3867864.0,0.485,0.5048,0.5018,0.7,0.3021978021978021,0.14190592193028245,0.5931034482758618,0.3964232488822654,0.7596330275229358,0.7027027027027027,0.3132,22,Red,Phase 3
CS-003,Technical Support Specialist (Tier 2),Customer Success,Mid,72000,140,0.5,0.52,0.8,0.18,0.58,0.09,0.72,40,140,0.3,13104000.0,1920,48.75,0.445,0.437,0.68,0.468,1096000.0,461000.0,17,0.581,0.499,0.178,0.289,0.378,5831280.0,5726448.0,11557728.0,7829.0,0.4963,AI Augmentation,0.445,5831280.0,0.468,0.6324000000000001,0.4963,0.52,0.5787545787545787,0.22533495736906212,0.47586206896551725,0.6341281669150524,0.7428134556574923,0.4594594594594595,0.4473,17,Red,Phase 2
LEG-001,Contract / Paralegal Specialist,Legal,Mid,82000,35,0.58,0.55,0.2,0.9,0.7,0.04,0.62,40,35,0.3,3731000.0,1920,55.52,0.36,0.423,0.892,0.424,394000.0,129000.0,17,0.281,0.584,0.144,0.234,0.306,1343160.0,1578213.0,2921373.0,11257.0,0.4808,AI Augmentation,0.36,1343160.0,0.424,0.5384,0.4808,0.55,0.423076923076923,0.034626761788759355,0.17241379310344804,0.459016393442623,0.6954128440366972,0.5000000000000001,0.2896,24,Red,Phase 3
LEG-002,Corporate Counsel,Legal,Director,210000,15,0.18,0.92,0.3,0.95,0.95,0.02,0.4,40,15,0.3,4095000.0,1920,142.19,0.129,0.6,0.9,0.439,478000.0,136000.0,20,0.178,0.87,0.052,0.084,0.11,528255.0,2457000.0,2985255.0,31867.0,0.5032,AI Augmentation,0.129,528255.0,0.439,0.292,0.5032,0.92,0.0,0.0,0.27586206896551707,0.0,0.7639143730886849,1.0,0.065,29,Red,Phase 3
ITO-001,IT Help Desk / Support,IT Operations,Junior,58000,95,0.7,0.3,0.6,0.2,0.38,0.1,0.82,40,95,0.3,7163000.0,1920,39.27,0.625,0.296,0.54,0.447,556000.0,257000.0,16,0.614,0.312,0.25,0.406,0.532,4476875.0,2120248.0,6597123.0,5853.0,0.4568,Full Automation,0.625,4476875.0,0.447,0.7671999999999999,0.4568,0.3,0.9084249084249083,0.16778388172158834,0.3310344827586206,0.8852459016393441,0.6220183486238531,0.16216216216216217,0.5731,7,Red,Phase 1
ITO-002,Systems / Network Administrator,IT Operations,Mid,95000,60,0.5,0.55,0.3,0.4,0.68,0.06,0.65,40,60,0.3,7410000.0,1920,64.32,0.393,0.446,0.766,0.45,684000.0,258000.0,17,0.338,0.569,0.157,0.256,0.334,2912130.0,3304860.0,6216990.0,11400.0,0.3721,AI Augmentation,0.393,2912130.0,0.45,0.5624,0.3721,0.55,0.4835164835164835,0.10129508563474111,0.35172413793103435,0.5037257824143071,0.3629969418960244,0.5000000000000001,0.3882,19,Red,Phase 2
MKT-001,Content Writer / Copywriter,Marketing,Mid,75000,55,0.48,0.52,0.55,0.15,0.58,0.07,0.88,40,55,0.3,5362500.0,1920,50.78,0.488,0.461,0.64,0.511,445000.0,194000.0,16,0.496,0.467,0.195,0.317,0.415,2616900.0,2472112.0,5089012.0,8091.0,0.4001,AI Augmentation,0.488,2616900.0,0.511,0.7412,0.4001,0.52,0.6575091575091574,0.08875023821952654,0.7724137931034482,0.8368107302533533,0.44862385321100917,0.4594594594594595,0.5371,9,Red,Phase 1
MKT-002,Digital Marketing Analyst,Marketing,Mid,82000,40,0.6,0.48,0.4,0.12,0.55,0.08,0.8,40,40,0.3,4264000.0,1920,55.52,0.533,0.387,0.598,0.472,347000.0,152000.0,16,0.459,0.455,0.213,0.346,0.453,2272712.0,1650168.0,3922880.0,8675.0,0.3451,Low AI Suitability,0.533,2272712.0,0.472,0.698,0.3451,0.48,0.73992673992674,0.07412507837077177,0.5034482758620686,0.756333830104322,0.28042813455657495,0.4054054054054054,0.5239,11,Red,Phase 2
MKT-003,Brand / Marketing Manager,Marketing,Manager,120000,22,0.25,0.78,0.6,0.12,0.72,0.05,0.55,40,22,0.3,3432000.0,1920,81.25,0.247,0.6,0.826,0.489,298000.0,117000.0,19,0.396,0.687,0.099,0.161,0.21,847704.0,2059200.0,2906904.0,13545.0,0.3831,AI Augmentation,0.247,847704.0,0.489,0.4552,0.3831,0.78,0.2161172161172161,0.01357395576988408,0.6206896551724135,0.3040238450074516,0.3966360856269112,0.810810810810811,0.2754,26,Red,Phase 3
PRD-001,Product Manager,Product,Senior,145000,70,0.22,0.85,0.65,0.2,0.82,0.05,0.52,40,70,0.3,13195000.0,1920,98.18,0.213,0.6,0.869,0.476,1214000.0,448000.0,19,0.38,0.762,0.085,0.139,0.181,2810535.0,7917000.0,10727535.0,17343.0,0.4182,AI Augmentation,0.213,2810535.0,0.476,0.4072,0.4182,0.85,0.15384615384615383,0.09697813351893741,0.5310344827586203,0.21460506706408353,0.5039755351681957,0.9054054054054054,0.2336,27,Red,Phase 3
PRD-002,UX / Product Designer,Product,Mid,110000,55,0.32,0.68,0.7,0.1,0.75,0.06,0.65,40,55,0.3,7865000.0,1920,74.48,0.321,0.565,0.763,0.5,685000.0,273000.0,18,0.455,0.645,0.128,0.209,0.273,2524665.0,4443725.0,6968390.0,12455.0,0.4165,AI Augmentation,0.321,2524665.0,0.5,0.532,0.4165,0.68,0.3516483516483516,0.08483100913934392,0.6965517241379308,0.44709388971684066,0.4987767584097858,0.6756756756756757,0.3632,20,Red,Phase 3
PRD-003,Technical Writer,Product,Mid,88000,30,0.55,0.42,0.45,0.15,0.55,0.07,0.85,40,30,0.3,3432000.0,1920,59.58,0.537,0.395,0.601,0.483,281000.0,124000.0,16,0.48,0.425,0.215,0.349,0.456,1842984.0,1355640.0,3198624.0,9367.0,0.3695,Low AI Suitability,0.537,1842984.0,0.483,0.74,0.3695,0.42,0.7472527472527473,0.05586517189092446,0.5793103448275859,0.8345752608047691,0.35504587155963296,0.32432432432432434,0.5449,8,Red,Phase 1
